更新时间: 2025-12-25 04:31:45（北京时间）

更新时间,#genre#
2025-12-25 04:31:45,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

大湾区,#genre#
广东卫视,http://183.164.37.18:4022/rtp/238.1.78.161:7160$安徽电信
广东卫视,http://171.83.48.170:1234/rtp/239.254.96.140:8914$湖北电信
广东卫视,http://113.12.63.115:6666/rtp/239.81.0.104:4056$广西电信
广东卫视,http://113.12.63.115:6666/rtp/239.81.0.252:4056$广西电信

央视频道,#genre#
CCTV1,http://183.164.37.18:4022/rtp/238.1.78.166:7200$安徽电信
CCTV1,http://171.83.48.170:1234/rtp/239.254.96.96:8550$湖北电信
CCTV1,http://113.12.63.115:6666/rtp/239.81.0.102:4056$广西电信
CCTV2,http://183.164.37.18:4022/rtp/238.1.78.235:7752$安徽电信
CCTV2,http://171.83.48.170:1234/rtp/239.69.1.102:10250$湖北电信
CCTV2,http://113.12.63.115:6666/rtp/239.81.0.115:4056$广西电信
CCTV3,http://183.164.37.18:4022/rtp/238.1.78.170:7232$安徽电信
CCTV3,http://171.83.48.170:1234/rtp/239.69.1.122:10370$湖北电信
CCTV3,http://113.12.63.115:6666/rtp/239.81.0.231:4056$广西电信
CCTV4,http://183.164.37.18:4022/rtp/238.1.78.236:7760$安徽电信
CCTV4,http://171.83.48.170:1234/rtp/239.69.1.138:10466$湖北电信
CCTV4,http://113.12.63.115:6666/rtp/239.81.0.96:4056$广西电信
CCTV4欧洲,http://171.83.48.170:1234/rtp/239.69.1.231:11028$湖北电信
CCTV4美洲,http://171.83.48.170:1234/rtp/239.69.1.232:11034$湖北电信
CCTV5,http://183.164.37.18:4022/rtp/238.1.78.171:7240$安徽电信
CCTV5,http://171.83.48.170:1234/rtp/239.69.1.123:10376$湖北电信
CCTV5,http://113.12.63.115:6666/rtp/239.81.0.232:4056$广西电信
CCTV5+,http://183.164.37.18:4022/rtp/238.1.78.237:7768$安徽电信
CCTV5+,http://171.83.48.170:1234/rtp/239.254.96.234:9484$湖北电信
CCTV5+,http://113.12.63.115:6666/rtp/239.81.0.101:4056$广西电信
CCTV6,http://183.164.37.18:4022/rtp/238.1.78.172:7248$安徽电信
CCTV6,http://171.83.48.170:1234/rtp/239.69.1.124:10382$湖北电信
CCTV6,http://113.12.63.115:6666/rtp/239.81.0.233:4056$广西电信
CCTV7,http://183.164.37.18:4022/rtp/238.1.78.239:7784$安徽电信
CCTV7,http://171.83.48.170:1234/rtp/239.69.1.103:10256$湖北电信
CCTV7,http://113.12.63.115:6666/rtp/239.81.0.116:4056$广西电信
CCTV8,http://183.164.37.18:4022/rtp/238.1.78.173:7256$安徽电信
CCTV8,http://171.83.48.170:1234/rtp/239.69.1.125:10388$湖北电信
CCTV8,http://113.12.63.115:6666/rtp/239.81.0.234:4056$广西电信
CCTV9,http://183.164.37.18:4022/rtp/238.1.78.240:7792$安徽电信
CCTV9,http://171.83.48.170:1234/rtp/239.69.1.104:10262$湖北电信
CCTV9,http://113.12.63.115:6666/rtp/239.81.0.117:4056$广西电信
CCTV10,http://183.164.37.18:4022/rtp/238.1.78.241:7800$安徽电信
CCTV10,http://171.83.48.170:1234/rtp/239.69.1.105:10268$湖北电信
CCTV10,http://113.12.63.115:6666/rtp/239.81.0.118:4056$广西电信
CCTV11,http://183.164.37.18:4022/rtp/238.1.78.206:7502$安徽电信
CCTV11,http://171.83.48.170:1234/rtp/239.69.1.154:10560$湖北电信
CCTV11,http://113.12.63.115:6666/rtp/239.81.0.229:4056$广西电信
CCTV12,http://183.164.37.18:4022/rtp/238.1.78.242:7808$安徽电信
CCTV12,http://171.83.48.170:1234/rtp/239.69.1.106:10274$湖北电信
CCTV12,http://113.12.63.115:6666/rtp/239.81.0.119:4056$广西电信
CCTV13,http://183.164.37.18:4022/rtp/238.1.79.35:4392$安徽电信
CCTV13,http://171.83.48.170:1234/rtp/239.254.96.161:9040$湖北电信
CCTV13,http://113.12.63.115:6666/rtp/239.81.0.206:4056$广西电信
CCTV14,http://183.164.37.18:4022/rtp/238.1.78.243:7816$安徽电信
CCTV14,http://171.83.48.170:1234/rtp/239.69.1.107:10280$湖北电信
CCTV14,http://113.12.63.115:6666/rtp/239.81.0.120:4056$广西电信
CCTV15,http://183.164.37.18:4022/rtp/238.1.78.222:7648$安徽电信
CCTV15,http://171.83.48.170:1234/rtp/239.69.1.155:10566$湖北电信
CCTV15,http://113.12.63.115:6666/rtp/239.81.0.230:4056$广西电信
CCTV16,http://171.83.48.170:1234/rtp/239.69.1.247:11124$湖北电信
CCTV16,http://113.12.63.115:6666/rtp/239.81.0.142:4056$广西电信
CCTV16,http://113.12.63.115:6666/rtp/239.81.0.144:4056$广西电信
CCTV17,http://183.164.37.18:4022/rtp/238.1.78.178:7296$安徽电信
CCTV17,http://171.83.48.170:1234/rtp/239.69.1.152:10548$湖北电信
CCTV17,http://113.12.63.115:6666/rtp/239.81.0.228:4056$广西电信
CCTV4K,http://183.164.37.18:4022/rtp/238.1.78.137:6968$安徽电信
CCTV4K,http://171.83.48.170:1234/rtp/239.69.1.12:9712$湖北电信
CCTV4K,http://113.12.63.115:6666/rtp/239.81.0.196:4056$广西电信
兵器科技,http://113.25.107.189:10000/rtp/239.1.1.97:8097$山西电信
兵器科技,http://183.164.37.18:4022/rtp/238.1.79.56:4584$安徽电信
兵器科技,http://171.83.48.170:1234/rtp/239.69.1.79:10114$湖北电信
风云音乐,http://113.25.107.189:10000/rtp/239.1.1.96:8096$山西电信
风云音乐,http://183.164.37.18:4022/rtp/238.1.79.64:4648$安徽电信
风云足球,http://113.25.107.189:10000/rtp/239.1.1.101:8101$山西电信
风云足球,http://183.164.37.18:4022/rtp/238.1.79.57:4592$安徽电信
